GP,MIN,PTS,AST,REB,PTS_PER_MIN,Season_type_Playoffs,Season_type_Regular%20Season
-0.6212345293760301,-0.8273504495497601,-0.7007276674670702,-0.6903528639969175,-0.7609893006443106,0.045802143350454703,0.0,1.0
0.4886314649756928,-0.1368641294441028,-0.06420467640622282,-0.5093807519410197,0.3541352360831262,0.03222603835625636,0.0,1.0
-1.0866622044267527,-0.7957925738593736,-0.7548450067880329,-0.5284304479469037,-0.7081676120624847,-0.09006634507568403,1.0,0.0
-1.1582664621268637,-0.9068762962895341,-0.7857692006857259,-0.6617783199880916,-0.7727274536624942,0.021156692644970852,1.0,0.0
0.8108506246261931,0.19764935287399443,0.038875969919420474,-0.41413227191159985,0.13111032873763884,-0.030973218372278625,0.0,1.0
-1.2656728486770306,-1.024271593857772,-0.8888498470113692,-0.7284522560086855,-0.854894524789779,0.44320373601454516,0.0,1.0
1.0256633977265264,0.9929078202717351,0.8222888819943095,0.3669052643296431,0.2250155528831072,0.001597201130319611,0.0,1.0
-1.1582664621268637,-0.8298750796049911,-0.6878425866763648,-0.6141540799733816,-0.7140366885715764,0.07465273781324779,1.0,0.0
1.6342995881774713,2.6503274515308357,2.340151399139407,2.710017873053372,0.8471376628468351,0.012624939590307385,0.0,1.0
0.7392463669260818,0.0007282085659824725,-0.24459580747609858,-0.22363531185276012,-0.338415791989703,-0.07909684452185953,0.0,1.0
1.4194868150771378,1.1002045976190493,0.8197118658361684,1.5289367206885656,-0.06843827257148144,-0.014736564108759774,0.0,1.0
-1.050860075576697,-0.7023812618158295,-0.7393829098391864,-0.6427286239822075,-0.7433820711170352,-0.13668103137856716,1.0,0.0
1.1688719131267489,1.5962944034719255,2.2679949467114566,1.0241197765326402,3.1654228839380854,0.13339574555552947,0.0,1.0
-0.800245173626308,-0.7516115478928325,-0.729074845206622,-0.5284304479469037,-0.49688085773518087,-0.09120410927685796,1.0,0.0
-0.6928387870761412,-0.7187913571748304,-0.6620724250949539,-0.5474801439527877,-0.6494768469715669,-0.03425901100810189,0.0,1.0
1.4194868150771378,0.5700322860205556,0.20380500404044974,0.9574458405120464,-0.02148566049874726,-0.058537774788227886,0.0,1.0
1.4552889439271934,0.41855448270670015,0.04918403455198481,-0.22363531185276012,0.9703882695377624,-0.07148014706307446,0.0,1.0
0.9540591400264153,0.35038947121546526,0.2553453272032714,-0.21411046384981813,1.1112461057559648,-0.004039274249029292,0.0,1.0
0.9540591400264153,1.7061158108744707,2.028332444004336,1.7384833767532892,0.7591015152104585,0.08294927906362834,0.0,1.0
1.3120804285269712,1.9787758568394103,1.9587530077345268,2.8624154411004437,0.9586501165195788,0.038424123365510904,0.0,1.0
1.4552889439271934,0.7038376789477944,-0.02039540171782442,0.2716567843002232,0.24849185891947428,-0.12624002672513063,0.0,1.0
-0.5496302716759189,-0.8071534091079128,-0.7754611360531616,-0.6617783199880916,-0.5790479288624657,-0.11330158250356623,1.0,0.0
1.0256633977265264,0.10171341077521938,-0.06420467640622282,0.462153744359063,-0.45579732217153845,-0.040820499701605846,0.0,1.0
-0.19160898317536315,0.0,2.46642519088832,0.024010736223731566,-0.8607636012988708,-0.3132956813460125,0.0,1.0
-0.5854324005259745,-0.05986291275955967,0.09041629308224212,0.4050046563414111,-0.30907040944424413,0.06396643018366505,1.0,0.0
-0.5138281428258633,-0.5660512388333596,-0.633725247355402,-0.4427068159204258,-0.12712903766239916,-0.10396296585720069,1.0,0.0
-0.47802601397580774,-0.37544166966342496,-0.4481800839692441,-0.29030924787335405,-0.03909289002602258,-0.059663124750321685,1.0,0.0
-1.1582664621268637,-0.8993024061238414,-0.8295784753741243,-0.6998777119998595,-0.7551202241352188,-0.1260433503161715,1.0,0.0
-0.19160898317536315,-0.4044749152985806,-0.5667228272437339,-0.5189055999439617,-0.4440591691533549,-0.11841652109288713,0.0,1.0
1.5984974593274157,1.494046886235073,1.2655356611945756,0.509777984373773,2.1618108008833925,0.004153748673089785,0.0,1.0
-1.1582664621268637,-0.9813528829188464,-0.8682337177462405,-0.6141540799733816,-0.8372872952625037,-0.10315695430141315,1.0,0.0
1.3478825573770268,1.2630432361814437,1.2036872733991897,0.3669052643296431,2.437657396810706,0.026169878594171577,0.0,1.0
-1.2656728486770306,-1.0230092788301566,-0.8940038793276514,-0.7284522560086855,-0.8607636012988708,-0.3132956813460125,0.0,1.0
0.6318399803759152,0.7707403754114138,1.087721546282841,0.05258528023255753,1.211020406410525,0.09523525401232229,0.0,1.0
-0.9434536890265303,-0.7654970131966026,-0.6079550857739912,-0.5379552959498457,-0.7199057650806682,0.09236342651399669,0.0,1.0
1.1688719131267489,1.3198474124241395,1.2036872733991897,0.18593315227374535,2.8484927524471297,0.01795258424381747,0.0,1.0
1.491091072777249,1.466275955627533,1.2861517904597044,0.49072828836788895,0.6651962910649901,0.010754195660079532,0.0,1.0
1.3120804285269712,1.2706171263471364,0.9099074313711063,0.8336228164738005,0.0313360280830787,-0.022334366976567252,0.0,1.0
1.2762782996769155,0.6445088726498677,0.618704605501164,0.18593315227374535,2.085512806265199,0.02210096366202928,0.0,1.0
1.6342995881774713,1.1582710888893604,1.278420741985281,0.49072828836788895,1.0173408816104965,0.0551208459994237,0.0,1.0
